sequence,rx_monotonic_ns,receive_interval_ms,latency_ms,operator_powered,operator_enabled,operator_dragging,tracking_powered,mapper_armed,operator_j1,operator_j2,operator_j3,operator_j4,operator_j5,operator_j6,tracking_j1,tracking_j2,tracking_j3,tracking_j4,tracking_j5,tracking_j6,target_j1,target_j2,target_j3,target_j4,target_j5,target_j6
1234,22654094151724,7.911426,0.112027,1,1,1,1,1,1.891139,0.069297,-1.429868,-0.234182,-1.716586,0.407035,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007,0.000026,2.101491,-2.094913,0.000022,-1.574993,-0.000007
1235,22654101576373,7.424649,0.107278,1,1,1,1,1,1.891139,0.069297,-1.429856,-0.234182,-1.716586,0.407035,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007
1236,22654109993684,8.417311,0.107627,1,1,1,1,1,1.891139,0.069297,-1.429856,-0.234182,-1.716586,0.407035,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007
1237,22654118279955,8.286271,0.097925,1,1,1,1,1,1.891139,0.069297,-1.429868,-0.234182,-1.716586,0.407035,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007,0.000026,2.101491,-2.094913,0.000022,-1.574993,-0.000007
1238,22654125670768,7.390813,0.071239,1,1,1,1,1,1.891139,0.069297,-1.429856,-0.234182,-1.716586,0.407035,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007
1239,22654133724533,8.053765,0.097808,1,1,1,1,1,1.891139,0.069297,-1.429868,-0.234182,-1.716586,0.407035,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007,0.000026,2.101491,-2.094913,0.000022,-1.574993,-0.000007
1240,22654141849502,8.124969,0.086162,1,1,1,1,1,1.891139,0.069297,-1.429856,-0.234182,-1.716586,0.407035,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007
1241,22654149741305,7.891803,0.109453,1,1,1,1,1,1.891139,0.069297,-1.429868,-0.234182,-1.716586,0.407035,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007,0.000026,2.101491,-2.094913,0.000022,-1.574993,-0.000007
1242,22654157728529,7.987224,0.084645,1,1,1,1,1,1.891139,0.069297,-1.429856,-0.234182,-1.716586,0.407035,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007
1243,22654165631243,7.902714,0.047079,1,1,1,1,1,1.891139,0.069297,-1.429856,-0.234182,-1.716586,0.407035,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007
